ID	Box	Pop	Temp	Diet	Phosphorus	GUT	Days_spent	N_clutches	N_clutches_per day	Av_stick_height	Ctmax_time	Ctmax_temp	Cons_animal	Cons_plant	Animal_per_day	Plant_per_day	Ratio_A:P	Total_cons	Cons_rate	Ini_weight	Fin_weight	Growth_rate	Shell_IL	Shell_IAA	Shell_FL	Shell_FAA
027	2	SE	20	P	3	x	74	0	0	0.533333333333333	227	39.6	0	564.245555555556	0	7.62493993993994		564.245555555556	7.73	141.67	371.16	3.10121621621622	9.28966666666667	29.6293333333333	16.2076666666667	89.3703333333333
031	2	SE	20	M	0	x	74	0	0	0.633333333333333	214	38.2	601.028484848485	499.855757575758	8.12200655200655	6.75480753480753	1 : 0.83	1100.88424242424	15.08	116	453.73	4.56391891891892	8.522	28.2836666666667	16.7756666666667	110.263
034	2	SE	20	P	0	x	74	0	0	1.36666666666667	229	40	0	1433.22575757576	0	19.3679156429156		1433.22575757576	19.63	175.69	1230.73	14.2572972972973	12.291	41.3876666666667	27.903	219.273666666667
035	2	SE	20	P	3	x	74	0	0	1.23333333333333	208	38.3	0	679.402222222222	0	9.18111111111111		679.402222222222	9.31	170.45	435.9	3.58716216216216	10.8303333333333	36.6483333333333	16.8676666666667	101.271333333333
036	2	SE	20	P	3	x	74	0	0	0.45	220	38.7	0	329.644646464647	0	4.45465738465739		329.644646464647	4.52	125.02	134.22	0.124324324324324	9.81733333333333	33.7483333333333	12.3326666666667	50.1523333333333
039	3	SE	20	A	3	x	74	0	0	0.466666666666667	208	37.6	771.60893939394	0	10.4271478296478	0		771.60893939394	10.57	196.74	522.13	4.39716216216216	10.998	45.4923333333333	17.521	116.126666666667
040	3	SE	20	M	0	x	74	8	0.108108108108108	0.283333333333333	215	39.9	444.082121212121	526.463939393939	6.00110974610975	7.11437755937756	1 : 1.19	970.54606060606	13.3	229.42	429.9	2.70918918918919	11.8383333333333	49.1473333333333	16.2953333333333	87.4336666666667
041	3	SE	20	M	3	x	74	26	0.351351351351351	0.833333333333333	215	39	431.568484848485	438.344646464646	5.83200655200655	5.9235763035763	1 : 1.02	869.913131313131	11.92	148.77	196.3	0.642297297297297	10.0963333333333	34.2016666666667	12.5336666666667	54.7416666666667
042	3	SE	20	M	3	x	74	0	0	0.416666666666667	211	38.6	444.742575757576	372.066767676768	6.01003480753481	5.02792929292929	1 : 0.84	816.809343434344	11.19	211.69	339.3	1.72445945945946	11.531	50.7	15.5093333333333	76.7223333333333
044	3	SE	20	P	0	x	74	0	0	0.7	218	38.6	0	471.460303030303	0	6.37108517608518		471.460303030303	6.46	168.2	242.42	1.00297297297297	10.265	33.0853333333333	13.7826666666667	63.37
046	3	SE	20	A	0	x	74	0	0	0.616666666666667	215	38.4	318.525757575758	0	4.30440212940213	0		318.525757575758	4.36	97.56	213.6	1.56810810810811	8.25	20.817	12.802	59.8686666666667
047	3	SE	20	A	3	x	74	0	0	1.20689655172414	217	39.2	1134.85303030303	0	15.3358517608518	0		1134.85303030303	15.55	164.55	985.7	11.0966216216216	11.5466666666667	33.562	24.7973333333333	201.493
048	3	SE	20	A	3	x	74	0	0	0.8	210	38.5	425.69803030303	0	5.75267608517609	0		425.69803030303	5.83	148.43	180.8	0.437432432432432	10.229	37.758	12.0006666666667	51.0276666666667
050	3	SE	20	M	0	x	74	0	0	0.55	209	38.5	520.81303030303	454.358484848485	7.03801392301392	6.13997952497952	1 : 0.87	975.171515151515	13.36	118.89	565.52	6.03554054054054	9.01833333333333	24.5766666666667	18.006	110.258333333333
051	3	SE	20	M	3	x	74	2	0.027027027027027	1.06666666666667	223	39.2	586.40893939394	689.168585858586	7.92444512694513	9.313088998089	1 : 1.18	1275.57752525253	17.47	162.29	473.36	4.20364864864865	10.4833333333333	38.0076666666667	19.1223333333333	122.598666666667
053	3	SE	20	P	3	x	74	0	0	0.866666666666667	221	39.9	0	763.602222222222	0	10.318948948949		763.602222222222	10.46	191.15	391.4	2.70608108108108	10.8016666666667	39.6096666666667	16.7713333333333	80.8403333333333
055	4	SE	20	A	0	x	74	2	0.027027027027027	0.25	212	38.7	501.541212121212	0	6.77758394758395	0		501.541212121212	6.87	205.98	207.59	0.0217567567567569	12.0246666666667	51.5913333333333	11.975	61.6093333333333
057	4	SE	20	A	3	x	74	0	0	0.633333333333333	219	39.7	433.872121212121	0	5.86313677313678	0		433.872121212121	5.94	84.35	320.98	3.1977027027027	7.927	21.45	14.9536666666667	74.1803333333333
059	4	SE	20	M	3	x	74	3	0.0405405405405405	0.65	215	38.4	397.52393939394	497.011919191919	5.37194512694513	6.71637728637729	1 : 1.25	894.535858585859	12.25	168.13	396.56	3.08689189189189	10.5283333333333	42.182	14.686	82.0603333333333
060	4	SE	20	M	3	x	74	0	0	0.65	199	37.5	722.357121212121	699.012828282828	9.76158271908272	9.4461193011193	1 : 0.97	1421.36994949495	19.47	141.66	812.5	9.06540540540541	9.82866666666667	29.5296666666667	20.5986666666667	133.611666666667
063	4	SE	20	P	3	x	74	0	0	0.8	211	38.5	0	695.390707070707	0	9.39717171717172		695.390707070707	9.53	229.28	358.1	1.74081081081081	11.214	50.48	14.7143333333333	94.669
064	4	SE	20	A	0	x	74	0	0	0.816666666666667	205	38	769.587575757576	0	10.3998321048321	0		769.587575757576	10.54	126.05	381.7	3.45472972972973	9.814	32.357	16.282	88.946
065	4	SE	20	A	3	x	74	1	0.0135135135135135	1.33333333333333	198	37.6	930.10893939394	0	12.5690397215397	0		930.10893939394	12.74	236.63	595.01	4.84297297297297	11.8993333333333	49.0133333333333	18.419	118.269333333333
066	4	SE	20	A	3	x	74	0	0	1.05	226	39.5	943.760757575758	0	12.7535237510238	0		943.760757575758	12.93	89.56	803.81	9.65202702702703	9.493	22.4006666666667	22.9153333333333	179.455
068	4	SE	20	M	0	x	74	0	0	0.4	203	37.7	611.000303030303	619.754848484848	8.25676085176085	8.37506552006552	1 : 1.01	1230.75515151515	16.86	136.74	626.79	6.6222972972973	8.89266666666667	27.125	17.9793333333333	99.2006666666667
071	4	SE	20	P	3	x	74	4	0.0540540540540541	0.466666666666667	213	38.6	0	821.480101010101	0	11.1010824460824		821.480101010101	11.25	145.37	536.16	5.28094594594595	9.96633333333333	27.8193333333333	18.226	95.8453333333333
072	4	SE	20	P	3	x	74	1	0.0135135135135135	1.26666666666667	202	38	0	970.025252525253	0	13.1084493584494		970.025252525253	13.29	285.91	989.72	9.51094594594595	14.0576666666667	52.6313333333333	25.2593333333333	194.084
103	5	SE	14	A	3	x	74	1	0.0135135135135135	0.766666666666667	197	36.6	589.549848484849	0	7.96688984438985	0		589.549848484849	8.08	116.28	381.6	3.58540540540541	9.34333333333333	28.9916666666667	16.3116666666667	86.5583333333333
105	5	SE	14	M	3	x	74	0	0	0.716666666666667	195	36.5	421.246212121212	334.478282828283	5.69251638001638	4.5199767949768	1 : 0.79	755.724494949495	10.35	164.14	468.08	4.1072972972973	10.096	33.0386666666667	17.923	114.638333333333
106	5	SE	14	M	3	x	74	16	0.216216216216216	0.0666666666666667	202	38	227.894393939394	291.722525252525	3.07965397215397	3.94219628719629	1 : 1.28	519.616919191919	7.12	94.91	148.75	0.727567567567568	7.82233333333333	22.7256666666667	10.511	42.3126666666667
110	5	SE	14	A	0	x	74	5	0.0675675675675676	1.36666666666667	185	35.4	783.674848484849	0	10.5902006552007	0		783.674848484849	10.74	159.9	588.63	5.79364864864865	11.154	31.0646666666667	21.6723333333333	137.027333333333
113	5	SE	14	M	0	x	74	2	0.027027027027027	0.416666666666667	204	37.3	265.410303030303	245.364848484848	3.58662571662572	3.31574119574119	1 : 0.92	510.775151515152	7	122.81	305.19	2.46459459459459	8.963	25.0046666666667	14.1133333333333	65.9253333333333
118	5	SE	14	P	3	x	74	3	0.0405405405405405	0.933333333333333	192	37	0	582.679191919192	0	7.87404313404313		582.679191919192	7.98	154.97	413.17	3.48918918918919	10.8076666666667	30.447	19.013	110.500333333333
121	6	SE	14	A	3	x	74	0	0	0.45	185	36.2	541.375757575758	0	7.31588861588862	0		541.375757575758	7.42	148.24	348.51	2.70635135135135	9.417	29.972	15.1633333333333	73.942
122	6	SE	14	M	0	x	74	5	0.0675675675675676	0.683333333333333	205	37.7	382.725757575758	370.662121212121	5.1719696969697	5.00894758394758	1 : 0.97	753.387878787879	10.32	207.24	595.63	5.24851351351351	12.132	37.42	21.763	146.987666666667
123	6	SE	14	M	3	x	74	0	0	0.65	215	38.4	271.542575757576	223.066767676768	3.66949426699427	3.01441577941578	1 : 0.82	494.609343434344	6.78	109.6	191.63	1.10851351351351	8.656	22.7563333333333	12.37	41.9736666666667
